Track Name,Artist,Album,Popularity,Duration (min),Added Date
West Coast,Lana Del Rey,Ultraviolence (Deluxe),82,4.28,2/17/2025
Kylie Jenner,candyboii & RAVA,Kylie Jenner,48,3.03,2/17/2025
Stardust Chords,Greta Van Fleet,The Battle at Garden’s Gate,52,4.96,2/17/2025
MAZDA,RAVA & Johny Romano,LUCIFER,53,2.5,2/10/2025
Headlock,Imogen Heap,Speak for Yourself (Deluxe Version),84,3.59,2/3/2025
DVD,George Barnett,DVD,49,4.13,1/28/2025
Sunsetz,Cigarettes After Sex,Cigarettes After Sex,15,3.59,1/28/2025
Will We Make It?,HIMALAYAS,From Hell to Here,42,3.59,1/28/2025
Number 13,Nothing But Thieves,Broken Machine (Deluxe),43,2.95,1/28/2025
Ultraviolence,Lana Del Rey,Ultraviolence (Deluxe),79,4.19,1/28/2025
Illusion,Fizzy Blood,Pink Magic,33,3.48,1/28/2025
Be Your Man,Demob Happy,Holy Doom,44,3.6,1/28/2025
Deleted,Hidden Pillars,Deleted,46,3.04,1/28/2025
sadisfaction,Sick Joy,WE'RE ALL GONNA F***ING DIE.,37,2.73,1/28/2025
Begging,Bisou Noir,Begging,34,2.52,1/28/2025
Pop The Balloon,Nothing But Thieves,Dead Club City,43,4.52,1/28/2025
Exoskeleton,VANT,Conceived in the Sky,41,3.95,1/28/2025
Slow,Airways,Terrible Town,47,3.13,1/28/2025
stay numb,Sick Joy,WE'RE ALL GONNA F***ING DIE.,37,3.03,1/28/2025
Drawing Pins,Nothing But Thieves,Nothing But Thieves (Track by Track),35,3.62,1/28/2025
Heat Above,Greta Van Fleet,The Battle at Garden’s Gate,63,5.69,1/28/2025
Silver Spoon,Modern Alibi,Silver Spoon,30,3.76,1/28/2025
Wires,The Neighbourhood,I Love You. (10th Anniversary Edition),58,3.22,1/28/2025
Highway Tune,Greta Van Fleet,From The Fires,70,3.01,1/28/2025
IDWBS,Friday Pilots Club,"I LOVE YOU, ROBOT SUPERSTAR!",45,3.43,1/28/2025
Potions,LEAP,One Million Pieces,45,3.27,1/28/2025
Jaded,Betcha,Placebo,48,2.82,1/28/2025
Fistful Of Money,LEAP,Dark Habits,49,3.86,1/28/2025
SleepWalker,LEAP,Dark Habits,41,3.63,1/28/2025
Life's Coming in Slow - from GRAN TURISMO 7,Nothing But Thieves,Life's Coming in Slow (from GRAN TURISMO 7),50,2.83,1/28/2025
One Million Pieces,LEAP,One Million Pieces,42,3.41,1/28/2025
Tomorrow Is Closed,Nothing But Thieves,Dead Club City,56,3.97,1/28/2025
Exit Signs,LEAP,Dark Habits,56,4.47,1/27/2025
Forever,Labrinth,Euphoria (Original Score from the HBO Series),67,3.38,1/26/2025
Sports car,Tate McRae,Sports car,80,2.75,1/25/2025
Dakota,Stereophonics,Language.Sex.Violence.Other?,73,4.96,1/18/2025
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,84,4.45,1/18/2025
Hermit the Frog,MARINA,The Family Jewels,65,3.6,1/14/2025
Yummy - Righteous Remix,Ayesha Erotica & Mo Beats,Yummy (Righteous Remix),74,2.73,1/14/2025
Will you cry?,Gracie Abrams,Good Riddance (Deluxe),60,3.84,1/14/2025
MAZKO,S4nri0 & MC LyC4N,MAZKO,72,1.26,1/7/2025
LA COMBI VERSACE,ROSALÍA & Tokischa,MOTOMAMI,63,2.69,1/7/2025
Renegade (We Never Run) (from the series Arcane League of Legends),Arcane & Raja Kumari & Stefflon Don & Jarina De Marco,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),65,2.69,1/7/2025
Sucker (from the series Arcane League of Legends),Arcane & Marcus King,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),68,3.74,1/7/2025
Whatcha Say,Jason Derulo,Jason Derulo (International),75,3.69,1/7/2025
Dudadu,Irina Rimes,Dudadu,37,2.6,1/3/2025
Drunk On Love,Rihanna,Talk That Talk,43,3.54,1/1/2025
‘87 Stingray,Tory Lanez,Alone At Prom,65,2.36,12/30/2024
Maybe Tomorrow,Stereophonics,You Gotta Go There To Come Back,73,4.55,12/27/2024
We Are The People,Empire Of The Sun,Walking On A Dream (10th Anniversary Edition),85,4.46,12/24/2024
Supercut,Lorde,Melodrama,78,4.63,12/23/2024
Lost With You,Patrick Watson,Lost With You,66,2.93,12/22/2024
Paint The Town Blue (from the series Arcane League of Legends),Arcane & Ashnikko,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),71,1.91,12/21/2024
Heavy Is The Crown (Original Score) (from the series Arcane League of Legends),Arcane & Mike Shinoda & Emily Armstrong,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),64,1.69,12/21/2024
Goon Squad,Deftones,Koi No Yokan,55,5.67,12/18/2024
Made it Awkward,Ruel,Made it Awkward,42,3.07,12/15/2024
if u think i'm pretty,Artemas,pretty,76,2.14,12/14/2024
Ma Meilleure Ennemie (from the series Arcane League of Legends),Arcane & Stromae & Pomme,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),75,2.47,12/14/2024
SUPERSCAR,ADÉLA,SUPERSCAR,62,3.23,12/13/2024
uh uh (outside),Madelline,uh uh (outside),28,3.16,12/10/2024
Friends Don’t Keep Secrets,Stephen Dawes,Friends Don’t Keep Secrets,33,2.19,12/9/2024
Both Of Us,Mimi Webb,Amelia,37,2.78,12/9/2024
Jungle - 2019 Version,Somebody's Child,Jungle (2019 Version),58,4.68,12/7/2024
Love In Polaroid,The Covasettes,Love In Polaroid,35,3.25,12/7/2024
Sad Happy,Circa Waves,Sad Happy,45,3.69,12/7/2024
Pain + Pleasure,Sundara Karma,Better Luck Next Time,34,3.44,12/7/2024
Just To Keep You Satisfied,Inhaler,Cuts & Bruises,51,3.6,12/7/2024
Open Wide,Inhaler,Open Wide,37,4.81,12/7/2024
Sit Down Beside Me,Patrick Watson,Sit Down Beside Me,60,4.54,12/7/2024
breath away,Artemas,pretty,56,2.78,12/6/2024
Vignette,Twenty One Pilots,Clancy,66,3.37,12/6/2024
OverHeated,Billie Eilish,Happier Than Ever,66,3.57,12/6/2024
Daddy Issues,The Neighbourhood,Wiped Out!,84,4.34,12/4/2024
Cute & Cruel (feat. First Aid Kit),Tove Lo & First Aid Kit,Dirt Femme,38,3.01,12/3/2024
Bad To You (with Normani & Nicki Minaj),Ariana Grande & Normani & Nicki Minaj,Charlie's Angels (Original Motion Picture Soundtrack),49,2.86,12/3/2024
APT.,ROSÉ & Bruno Mars,APT.,89,2.83,11/29/2024
jupiter - Aeroplane Remix,almost monday & Aeroplane,jupiter (Remix),36,4.51,11/26/2024
What If...?,HIMALAYAS,What If...?,30,3.6,11/26/2024
Cyanide,Huddy & Palaye Royale,Cyanide,45,3.27,11/26/2024
Elephant,070 Shake,Petrichor,41,2.79,11/26/2024
Temptation,Johnny Orlando,Temptation,50,2.07,11/26/2024
